92906 测试脚本驱动_测试脚本驱动：已导入的函数库：Public、LoginAndQuit、Element、Repository、Log、ItemSelection、Dialog、Browser、PopBox、Recovery、DataTable
92906 测试脚本驱动_测试脚本驱动：案例路径：C:\Users\922004\Desktop\孙洪斌\学习文档集\信贷项目/03.导入案例/信用速贷流程.xlsx
92906 测试脚本驱动_测试脚本驱动：公共脚本路径：C:\Users\922004\Desktop\孙洪斌\学习文档集\信贷项目/02.公共脚本/信用速贷（build）
92906 测试脚本驱动_测试脚本驱动：执行第1条：经营类标准信用速贷
92906 测试脚本驱动_测试脚本驱动：脚本路径：C:\Users\922004\Desktop\孙洪斌\学习文档集\信贷项目/01.测试脚本/信用速贷业务/经营类标准信用速贷
92908 测试脚本驱动_经营类标准信用速贷 [经营类标准信用速贷]：数据初始完成!
92908 测试脚本驱动_经营类标准信用速贷 [经营类标准信用速贷]：开始运行：面签阶段
93236 测试脚本驱动_经营类标准信用速贷 [经营类标准信用速贷]：开始运行：信用评估
93238 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element()，对象名称：信用评估查询
93238 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element()，对象名称：新增
93244 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：客户名称
93245 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：证件号码
93246 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：手机号码
93246 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：客户性质
93247 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：婚姻状态
93247 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：贷款金额
93248 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：贷款期限
93248 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：户口所在地
93249 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：家庭有本地房产
93250 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：所得税缴费基数
93250 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：月均银行流水/利润经营
93251 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：住房公积金缴费基数
93251 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：社保缴费基数
93252 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：寿险年缴金额
93254 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：职称级别
93254 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：公务员级别
93254 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：职务
93257 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：自然村人口数量
93258 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：业务品种
93259 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：营销专属方案
93259 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：入账机构
93259 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：城市
93300 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：还款方式
93301 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：教育程度
93301 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element_Relation()定位对象，关联对象名称：额度是否可循环
93301 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element()，对象名称：保存
93302 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Element()，对象名称：信用评估
93306 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：调用函数Dialog_Handle()，弹窗操作：仅获取弹框值，无操作！
93306 测试脚本驱动_1.1、信用评估 [信用速贷（build）]：没有该客户15天以内的征信报告,请确认是否需要先查征信报告?

